# Lines 1 and 2 represent s and t respectively. s and t are the start and end of the shortest path respectively.
# Line i > 2 represents a sample taken at time i. The sample corresponds to a discrete state.
# Line Format: [sample ID] [x] [y] [z] [x-component of yaw] [y-component of yaw] [U: marginal coverage]
#              [sample ID of nearest neighbor 1] [shortest path cost to nearest neighbor 1] [shortest path cost from nearest neighbor 1]
#              ...
#              [sample ID of nearest neighbor k] [shortest path cost to nearest neighbor k] [shortest path cost from nearest neighbor k]
0	0	-1	4	-1	1	0	291	0.125	0.125	495	0.25	0.25	347	0.25	0.25	380	0.353553	1.28033	209	0.625	0.625	338	0.78033	0.625	208	0.853553	1.83853	190	0.853553	1.46353	472	0.875	0.875	287	0.875	0.875	
1	-1	-2	4	-1	-2	4	49	0.375	0.375	125	0.5	0.5	73	0.625	0.625	371	0.625	0.625	472	0.75	0.625	133	0.75	0.75	9	0.78033	0.75	338	0.875	0.875	296	0.978553	1.22855	241	1.00888	0.875	
2	3	-1	4	0	1	135	257	0.125	0.125	213	0.25	0.25	23	0.375	1.375	149	0.375	0.375	196	0.5	1	118	0.5	0.5	84	0.625	0.625	326	0.625	0.78033	79	0.728553	1.71353	307	0.75	0.625	
3	2	-1	4	-1	1	14	82	0.375	0.375	19	0.5	0.5	326	0.5	1.375	104	0.603553	1.58853	26	0.625	0.625	2	0.625	0.625	477	0.75	0.75	196	0.853553	1.15533	209	0.853553	1.83853	23	0.875	0.78033	
4	-7	-2	4	1	-2	33	88	0.375	0.375	68	0.625	0.625	122	0.625	0.625	65	0.728553	1.375	193	0.728553	1.58853	8	0.75	1.25	170	0.75	0.65533	360	0.75	0.75	199	0.75	1	136	0.853553	1.58853	
5	-11	3	4	-1	-1	33	461	0.25	0.25	335	0.5	0.5	66	0.625	0.625	11	0.625	0.625	106	0.625	1.125	462	0.625	1.375	252	0.75	0.75	330	0.78033	0.625	237	0.853553	1.25	468	0.875	0.875	
6	-10	3	4	1	0	38	237	0.375	0.375	134	0.5	0.5	203	0.603553	1.83853	311	0.625	1.15533	251	0.625	0.625	374	0.625	1	98	0.728553	1.71353	368	0.75	1.25	462	0.78033	0.78033	109	0.853553	1.47855	
7	1	-3	4	0	1	17	207	0.5	1	440	0.5	0.5	473	0.5	0.5	245	0.5	0.5	495	0.603553	1.58853	347	0.603553	1.58853	0	0.603553	1.83853	26	0.728553	1.71353	291	0.728553	1.71353	388	0.75	1	
8	-6	-2	4	1	1	4	199	0.25	0.25	177	0.478553	1.15533	74	0.5	0.5	415	0.603553	1.40533	68	0.625	0.625	242	0.65533	0.65533	21	0.75	1.125	460	0.75	0.625	282	0.75	0.75	216	0.853553	1.83853	
9	-2	-1	4	-1	-2	2	133	0.375	1.25	470	0.375	0.375	343	0.478553	1.375	241	0.478553	1.15533	427	0.5	0.5	73	0.5	1.375	254	0.603553	1.28033	167	0.728553	1.58853	145	0.75	1.125	497	0.78033	0.75	
